LL Rank (for 2020),Seaport,CountryÊ,Type
91,Gdansk,Poland,Coastal (<1km2 reclamation)
21,New York/New Jersey,United States,Coastal (<1km2 reclamation)
19,Long Beach,United States,Coastal (<1km2 reclamation)
36,Bremen/Bremerhaven,Germany,Coastal (<1km2 reclamation)
38,Savannah,United States,Coastal (<1km2 reclamation)
40,Col—n,Panama,Coastal (<1km2 reclamation)
42,Cai Mep,Vietnam,Coastal (<1km2 reclamation)
45,Santos,Brazil,Coastal (<1km2 reclamation)
50,Vancouver,Canada,Coastal (<1km2 reclamation)
57,Gioia Tauro,Italy,Coastal (<1km2 reclamation)
58,Balboa,Panama,Coastal (<1km2 reclamation)
63,Melbourne,Australia,Coastal (<1km2 reclamation)
66,Ambarli,Turkey,Coastal (<1km2 reclamation)
67,Chittagong,Bangladesh,Coastal (<1km2 reclamation)
68,Virginia,United States,Coastal (<1km2 reclamation)
75,Oakland,United States,Coastal (<1km2 reclamation)
76,Marsaxlokk,Malta,Coastal (<1km2 reclamation)
80,Charleston,United States,Coastal (<1km2 reclamation)
82,Callao,Peru,Coastal (<1km2 reclamation)
85,St Petersburg,Russia,Coastal (<1km2 reclamation)
90,Mersin,Turkey,Coastal (<1km2 reclamation)
96,SouthamptonÊ,UK,Coastal (<1km2 reclamation)
97,Izmit,Turkey,Coastal (<1km2 reclamation)
20,Ho Chi Minh City,Vietnam,Riverine
49,Fuzhou,China,Riverine
52,Dongguan,China,Riverine
53,Seattle/Tacoma,United States,Riverine
61,Nanjing,China,Riverine
62,Houston,United States,Riverine
69,London,United Kingdom,Riverine
87,Guayaquil,Ecuador,Riverine
92,Nantong,China,Riverine
13,Antwerp,Belgium,RiverineÊ
18,Hamburg,Germany,RiverineÊ