Seaport,Country,Region,Total reclaimed area (km^2),Rank by total reclamation,"TEU (millions, 2020)",Rank by Lloyd's List (2020 data)
Shanghai,China,Asia,51.86,4,43.5034,1
Singapore,Singapore,Asia,58.86,2,36.8709,2
Ningbo-Zhoushan,China,Asia,28.67,10,28.72,3
Shenzhen,China,Asia,33.87,7,26.55,4
Guangzhou,China,Asia,32.91,8,23.5053,5
Qingdao,China,Asia,30.78,9,22.01,6
Busan,South Korea,Asia,21.87,15,21.824,7
Tianjin,China,Asia,183.78,1,18.3531,8
Hong Kong,China,Asia,5.07,32,17.953,9
Rotterdam,Netherlands,Northern Europe,24.76,13,14.349446,10
Dubai,UAE,Middle East,5.87,31,13.488,11
Port Klang,Malaysia,Asia,1.69,63,13.244423,12
Xiamen,China,Asia,4.89,35,11.41,14
Tanjung Pelepas,Malaysia,Asia,4.92,34,9.8,15
Kaohsiung,Taiwan,Asia,16.76,18,9.621662,16
Los Angeles,USA,North America,3.89,46,9.2134,17
Laem Chabang,Thailand,Asia,10.05,24,7.5465,22
Tanjung Priok,Indonesia,Asia,3.98,43,6.8704,23
Colombo,Sri Lanka,Asia,4.88,36,6.854762,24
Tanger Med,Morocco,Mediterranean,2.97,53,5.7712,25
Mundra,India,Asia,15.09,21,5.656594,26
Yingkou,China,Asia,51.87,3,5.65,27
Piraeus,Greece,Mediterranean,1.67,64,5.437477,28
Valencia,Spain,Mediterranean,4.15,39,5.428307,29
Taicang,China,Asia,27.79,11,5.212,30
Hai Phong,Vietnam,Asia,15.49,20,5.1423,31
Dalian,China,Asia,20.98,16,5.11,32
Algeciras,Spain,Mediterranean,3.06,51,5.107873,33
Rizhao,China,Asia,15.88,19,4.86,34
Lianyungang,China,Asia,43.12,6,4.8,35
Jeddah,Saudi Arabia,Middle East,5.91,30,4.737313,37
Jawaharlal Nehru,India,Asia,3.79,48,4.47,39
Manila,Philippines,Asia,2.97,52,4.442921,41
Salalah,Oman,Middle East,3.07,50,4.34,43
Tokyo,Japan,Asia,13.07,23,4.261793,44
Port Said,Egypt,Middle East,1.9,61,4.009672,46
Qinzhou,China,Asia,19.18,17,3.95,47
Tanjung Perak,Indonesia,Asia,4.07,40,3.6,48
Felixstowe,UK,Northern Europe,4.62,37,3.435,51
Yantai,China,Asia,3.98,44,3.3002,54
Incheon,South Korea,Asia,14.92,22,3.272213,55
Abu Dhabi,UAE,Middle East,24.87,12,3.22,56
Cartagena,Colombia,Central & South America,2.05,59,3.127579,59
Tangshan,China,Asia,44.09,5,3.12,60
Barcelona,Spain,Mediterranean,4.05,41,2.95804,64
Manzanilo,Mexico,North America,2.94,54,2.908632,65
Yokohama,Japan,Asia,3.18,49,2.661622,70
Kobe,Japan,Asia,8.96,26,2.647066,71
Durban,South Africa,Africa,1,66,2.595402,72
Genoa,Italy,Mediterranean,2.14,57,2.49885,73
Nagoya,Japan,Asia,7.92,28,2.471146,74
Le Havre,France,Northern Europe,3.85,47,2.417,77
Sydney,Australia,Oceania,2.06,58,2.395773,78
Osaka,Japan,Asia,4.61,38,2.35225,79
Quanzhou,China,Asia,2.78,55,2.26,81
Yeosu Gwangyang,South Korea,Asia,3.95,45,2.158755,83
King Abdullah,Saudi Arabia,Middle East,4.02,42,2.153963,84
Karachi,Pakistan,Asia,5.06,33,2.079,86
Haikou,China,Asia,8.4,27,1.97,88
Jiaxing,China,Asia,9.37,25,1.9557,89
Dammam,Saudi Arabia,Middle East,1.99,60,1.863249,93
Zhuhai,China,Asia,6.09,29,1.84,94
Taichung,Taiwan,Asia,23.08,14,1.821,95
Lome,Togo,Africa,1.17,65,1.72527,98
Alexandria,Egypt,Middle East,2.26,56,1.677017,99
Jinzhou,China,Asia,1.69,62,1.643,100